Theta1,Theta2,Theta3
-0.2454189653580885,0.010344681640600206,0.11617019112137915
0.18353890993071675,-0.3198232780952104,0.390276407929992
0.3711724191685721,-0.4441052118785972,-0.3597783169966827
-0.1666407315895343,-0.12006572960200725,0.29759309573025416
0.4759523472053302,0.19741140602952326,-0.29528919735742754
0.22342572338524613,-0.08605018133874875,0.46215178185273603
0.3623435851468085,-0.005346709140842232,-0.24500693535869664
0.4593338584872034,0.14718431343113414,-0.07009131626334497
0.06722648843203137,-0.0036101364789303814,0.22580364134983544
0.3751189126481137,0.4011177662167066,-0.4837855826461432
-0.08585555984806748,0.22224714529064785,-0.3862556154790483
0.4638763455167446,-0.3799725836954307,0.432385662714872
0.3455872710813937,-0.20800879975882924,-0.4654088747260853
-0.4896842672229246,0.2162252630997099,0.03343169064239382
-0.09870268531430626,0.11528376903839554,-0.04542097450817584
-0.3725251652050261,-0.4056047744057539,0.4130263660444422
0.16105510687141333,0.050641499530219236,-0.352712240035581
-0.13801339421974124,0.007412064996642599,-0.04856506674128736
-0.3898212017656001,-0.13695732745047362,-0.3384606185621701
-0.053994985617373925,-0.489212383854546,-0.2114294434709544
0.026896388323739858,-0.18151741085605425,-0.4798540805519769
0.11832232766950646,0.11999120490934377,0.2056970186303817
0.3203133991752807,0.4062402855155881,-0.4789282227897839
0.4569214988940124,-0.3989737260206939,0.15105903549384225
0.02714850081707809,-0.20126398106699275,0.36635396142761295
-0.4133889299795097,-0.1546042185109513,0.3399166279341995
-0.028085339126008524,0.44969755134777256,0.18332964515809547
0.498953709794753,-0.05316525277151307,0.1220627353524899
0.33250980190428003,0.4214071945772244,-0.3079886431204492
-0.3302231002551121,0.3466681395711708,0.17822980216932904
0.4522159407026459,0.09282760732124906,0.08752484868939159
0.4392493461163681,-0.1060751243398228,0.3316016289317676
-0.060575894485147774,0.15754468818044354,-0.29407741175066826
0.0944997624622701,0.3146877112345029,-0.15131318108077796
-0.10489070446690384,-0.4078981089843243,-0.25631961222090993
0.19508687477973646,-0.3725329499876208,0.2136893953854362
0.13192728845752388,-0.4942734846144191,-0.05425312610367716
-0.11864234914104875,0.2776051945139639,-0.3974351690251956
-0.4836032968136298,-0.1860212771522364,0.24794434469591894
-0.11845784942837577,-0.016996001286408546,-0.3466016857470501
-0.15103886054991444,-0.1576333088466776,0.12369794091589904
